url,isBlog,isWordpress,isBlogSpot,isUrlIncludeDate,isUrlIncludeDomainPostTitle,isUrlIncludeYearMonthPostTitle,urlLen,numOfKeywords,isIncludeBlog,isMetaTagIncludeBlogKeyword,isUrlSuffixHTML,domainLen,pathNumberCount,lenOfPath
https://www.gawker.com/celebrity/olivia-rodrigos-fake-friend,1,0,0,0,0,0,60,4166,0,0,0,14,0,2
https://www.smashingmagazine.com/2022/04/accessible-filterable-paginated-list-11ty-alpinejs/,1,0,0,1,0,0,92,24330,0,0,0,24,8,3
https://www.smashingmagazine.com/2021/12/tools-tips-resources-to-build-better-user-experiences/,1,0,0,1,0,0,95,25623,0,0,0,24,6,3
https://gizmodo.com/star-wars-action-fleet-micro-machines-nostlagia-hasbro-1848831646,1,0,0,0,0,0,85,39484,0,0,0,11,10,1
https://balkin.blogspot.com/2020/06/an-unoriginal-joke-part-ii-or-why-we.html,1,0,1,1,0,1,77,14784,1,1,1,19,6,3
http://www.mrmoneymustache.com/2013/09/04/how-and-how-not-to-buy-a-house/?replytocom=576057,1,0,0,1,0,0,91,44579,0,0,0,23,8,4
https://www.slashfilm.com/495807/casting-transformers-hugo-weaving-is-megatron-keith-david-as-barricade/,1,0,0,0,0,0,104,6019,0,0,0,17,6,2
https://www.airlinereporter.com/2010/12/video-united-airlines-boeing-777-painted-in-new-livery/,1,0,0,1,0,0,95,19107,0,0,0,23,9,3
https://www.gawker.com/celebrity/harry-meghan-had-a-sleepover-at-grandmums-country-house,1,0,0,0,0,0,88,4216,0,0,0,14,0,2
https://crooksandliars.com/2014/09/dems-now-have-51-chance-holding-senate,1,0,0,1,0,1,73,7312,0,0,0,18,8,3
https://thetehrantimes.tumblr.com/post/89472485459/proud,1,0,0,0,0,0,56,7741,0,0,0,25,11,3
https://motleyvision.org/2010/08/02/a-utah-mormon-tasting-menu/,1,0,0,1,0,0,63,20669,0,0,0,16,8,4
https://gizmodo.com/c/giz-asks,1,0,0,0,0,0,30,74633,0,0,0,11,0,2
https://www.opednews.com/articles/genera_david_sw_051004_coalition_will_buy_p.htm,1,0,0,0,0,0,81,6673,0,0,0,16,6,2
https://thebirddogblog.com/2011/09/12/stock-market-week-two/,1,0,0,1,0,0,60,16857,1,0,0,18,8,4
https://www.smashingmagazine.com/category/data-visualization/,1,0,0,0,0,0,61,13038,0,0,0,24,0,2
https://www.gawker.com/politics/what-has-putin-ever-done-to-me-anyway,1,0,0,0,0,0,69,4284,0,0,0,14,0,2
https://deadspin.com/more-great-news-out-of-the-washington-commies-camp-1848747254,1,0,0,0,0,0,82,37912,0,0,0,12,10,1
https://www.simplyrecipes.com/a-guide-to-swapping-out-the-meat-in-your-favorite-recipes-5213491,1,0,0,0,0,0,95,38769,0,0,0,21,7,1
https://www.simplyrecipes.com/best-skewers-for-grilling-5235559,1,0,0,0,1,0,63,75067,0,0,0,21,7,1
https://balkin.blogspot.com/2020/09/barrett-obamacare-and-cooties.html,1,0,1,1,0,1,70,12852,1,1,1,19,6,3
https://www.monstersandcritics.com/celebrity/dua-lipa-does-a-headstand-in-a-crop-top-and-heels/,1,0,0,0,0,0,95,18952,0,0,0,26,0,2
https://gothamist.com/news/report-pedestrian-deaths-up-44-percent-in-first-quarter-of-2022,1,0,0,0,0,0,90,21629,0,0,0,13,6,2
https://jezebel.com/sarah-palin-announces-for-congress-triggering-everyone-1848740712,1,0,0,0,0,0,85,35706,0,0,0,11,10,1
https://skatter.com/2011/01/ces-2011-wilson-electronics-introduces-new-4g-signal-boosters/,1,0,0,1,0,0,90,3158,0,0,0,11,11,3
https://lifehacker.com/the-difference-between-composite-and-wood-decking-and-1848835709,1,0,0,0,1,0,87,36498,0,0,0,14,10,1
https://www.slashfilm.com/495741/frank-miller-prepping-300-sequel/,1,0,0,0,0,0,66,6001,0,0,0,17,9,2
https://lifehacker.com/avoid-these-phrases-that-make-you-sound-immature-at-wor-1848880761,1,0,0,0,1,0,89,36391,0,0,0,14,10,1
https://balkin.blogspot.com/2020/04/common-good-v-public-good-or-public.html,1,0,1,1,0,1,76,52531,1,1,1,19,6,3
http://dailyhowler.blogspot.com/2021/11/imitations-of-discourse-rachel-wants-to.html,1,0,1,1,0,1,84,23031,1,0,1,24,6,3
http://dailyhowler.blogspot.com/2021/01/things-having-fallen-apart-our-town-is.html,1,0,1,1,0,1,83,27506,1,0,1,24,6,3
https://www.airlinereporter.com/2009/02/scan-this/,1,0,0,1,0,0,50,12114,0,0,0,23,6,3
http://facesinplaces.blogspot.com/2013/04/eat-your-greens-they-said-youll-feel.html,1,0,1,1,0,1,83,3762,1,0,1,26,6,3
https://www.opednews.com/articles/opedne_megan_br_051204_unconvinced_3a_we_the_.htm,1,0,0,0,0,0,83,7499,0,0,0,16,7,2
http://www.mrmoneymustache.com/2013/09/04/how-and-how-not-to-buy-a-house/?replytocom=576076,1,0,0,1,0,0,91,44579,0,0,0,23,8,4
http://facesinplaces.blogspot.com/2015/01/you-like-my-furry-hood-i-feel-i-may-be.html,1,0,1,1,0,1,85,3777,1,0,1,26,6,3
https://climateaudit.org/2006/06/22/vzg-statement-on-nas-panel/,1,0,0,1,0,0,63,15284,0,0,0,16,8,4
https://lifehacker.com/5-of-the-best-tv-shows-to-binge-in-one-day-1848828945,1,0,0,0,0,0,76,31933,0,0,0,14,11,1
https://www.slashfilm.com/495763/30-new-stardust-photos/,1,0,0,0,0,0,56,7757,0,0,0,17,8,2
https://www.simplyrecipes.com/recipes/creamy_tomato_and_white_bean_soup/,1,0,0,0,0,0,72,50162,0,0,0,21,0,2
http://www.senseoncents.com/2011/04/internal-reviews-of-wamu-loan-fraud-should-have-been-easily-detected/,1,0,0,1,0,0,105,11478,0,0,0,20,6,3
https://techcrunch.com/2008/03/17/18-million-raised-by-thumbplay/,1,0,0,1,0,0,65,39228,0,0,0,14,10,4
https://lifehacker.com/money/debt,1,0,0,0,0,0,33,62474,0,0,0,14,0,2
http://www.senseoncents.com/2012/10/to-jon-corzine-this-mf-global-client-wants-justice/,1,0,0,1,0,0,87,11215,0,0,0,20,6,3
https://crooksandliars.com/cltv/2014/09/nfl-flack-frank-luntz-loved-roger,1,0,0,1,0,1,73,7083,0,0,0,18,6,4
https://www.theblingfactorblog.com/home/tag/Makeup,1,0,0,0,0,0,50,19008,1,0,0,26,0,3
https://thetehrantimes.tumblr.com/post/76216974525/ahmad-amin-nazar-untitled-2010-windsor,1,0,0,0,0,0,89,8923,0,0,0,25,15,3
http://facesinplaces.blogspot.com/2013/12/jack-frost-is-getting-ready-for-xmas.html,1,0,1,1,0,1,83,3771,1,0,1,26,6,3
https://lifehacker.com/what-cunninghams-law-really-tells-us-about-how-we-inter-1848733445,1,0,0,0,1,0,89,37281,0,0,0,14,10,1
http://www.senseoncents.com/2012/10/the-impact-of-obamacare-on-my-town/,1,0,0,1,0,0,71,11311,0,0,0,20,6,3
https://kotaku.com/elden-ring-maidenless-meme-varre-npc-fromsoftware-1848602100,1,0,0,0,0,0,79,36366,0,0,0,10,10,1
https://www.thecenterblog.com/post/youth-art-exchange-paid-internships,1,0,0,0,0,0,70,84585,1,0,0,21,0,2
http://www.borderlandbeat.com/2022/02/ixtlahuacan-colima-criminals-abandon.html,1,0,0,1,0,1,79,19447,0,0,1,22,6,3
https://thebirddogblog.com/2009/10/10/postgame-haiku-vol-24/,1,0,0,1,0,0,60,23287,1,0,0,18,10,4
https://gizmodo.com/star-trek-strange-new-worlds-review-paramount-plus-1848862048,1,0,0,0,1,0,81,43547,0,0,0,11,10,1
http://facesinplaces.blogspot.com/2013/03/he-saw-you-coming-mile-away.html,1,0,1,1,0,1,74,3754,1,0,1,26,6,3
https://kotaku.com/hearthstone-sunken-city-amalgam-finley-queen-azshara-tw-1848806103,1,0,0,0,0,0,85,31007,0,0,0,10,10,1
https://kotaku.com/elden-ring-fia-underwear-deathbed-smalls-cheat-code-arm-1848672777,1,0,0,0,0,0,85,36419,0,0,0,10,10,1
https://gothamist.com/news/adams-nominates-new-head-of-taxi-and-limousine-commission,1,0,0,0,0,0,84,21555,0,0,0,13,0,2
http://facesinplaces.blogspot.com/2013/07/not-dead-just-resting.html,1,0,1,1,0,1,68,3714,1,0,1,26,6,3
https://www.smashingmagazine.com/the-smashing-newsletter/smashing-newsletter-issue-350/,1,0,0,0,0,0,87,5797,0,0,0,24,3,2
https://www.monstersandcritics.com/movies/interview-big-game-director-jalmari-helander-and-star-onni-tommila/,1,0,0,0,0,0,109,13994,0,0,0,26,0,2
https://gothamist.com/news/100-days-in-adams-shows-why-hes-new-york-citys-perfectly-imperfect-mayor,1,0,0,0,0,0,99,27218,0,0,0,13,3,2
https://www.huffpost.com/entry/5-secrets-of-a-gogetter-g_b_6417254,1,0,0,0,0,0,66,60510,0,0,0,16,8,2
https://balkin.blogspot.com/2020/06/observations-on-police-riots-and.html,1,0,1,1,0,1,73,15752,1,1,1,19,6,3
